Country (or dependent territory),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Nigeria,2140.0,2277.0,2584.0,2813.0,3109.0,3344.0,3584.0,3848.0,4094.0,4347.0,4766.0,4968.0,5000,5225,5507,5426,5235,5190,5278,5352
North Macedonia,6938.0,6854.0,7046.0,7327.0,7852.0,8463.0,9149.0,9989.0,10720.0,10728.0,11197.0,11683.0,11909,12717,13424,13885,15128,15640,16461,17294
Norway,45989.0,47804.0,48949.0,50087.0,53167.0,55878.0,58479.0,61206.0,61820.0,60439.0,60774.0,61828.0,65101,66742,65647,60190,58736,62782,64590,65899
Oman,33929.0,35638.0,35208.0,34369.0,35132.0,36457.0,38827.0,40792.0,44030.0,45430.0,45073.0,42936.0,43038,41212,39151,32166,29353,29758,30470,30651
Pakistan,2624.0,2680.0,2752.0,2867.0,3103.0,3421.0,3663.0,3901.0,4009.0,3965.0,4031.0,4176.0,4207,4300,4446,4593,4639,4818,5110,5212
Palau,8460.0,9142.0,9637.0,9401.0,9982.0,10554.0,10859.0,11512.0,11325.0,10771.0,11053.0,12010.0,12632,12800,13708,14950,15007,14775,15782,15999
Panama,8329.0,8394.0,8546.0,8907.0,9647.0,10466.0,11497.0,13000.0,14299.0,14318.0,15076.0,16845.0,18596,20727,22827,25275,27829,30511,31892,32973
Papua New Guinea,2068.0,2061.0,2040.0,2215.0,2234.0,2346.0,2423.0,2622.0,2604.0,2736.0,2892.0,2830.0,2862,2959,3350,3532,3686,3809,3810,4022
Paraguay,6695.0,6662.0,6642.0,6940.0,7288.0,7546.0,8018.0,8540.0,9120.0,9011.0,9974.0,10455.0,9957,10980,11355,11373,11907,12434,12954,12949
Peru,5097.0,5168.0,5458.0,5719.0,6084.0,6585.0,7211.0,7943.0,8735.0,8788.0,9527.0,10223.0,10553,11088,11322,11408,11946,12541,13211,13323
Philippines,3482.0,3592.0,3705.0,3891.0,4174.0,4432.0,4722.0,5072.0,5298.0,5316.0,5677.0,5919.0,6360,6688,7045,7278,7789,8199,8793,9362
Poland,11814.0,12229.0,12603.0,13310.0,14358.0,15335.0,16784.0,18470.0,19620.0,20295.0,21370.0,22828.0,23745,24553,25471,26856,28321,30162,32532,34689
Portugal,20651.0,21376.0,21757.0,21897.0,22832.0,23689.0,24772.0,26028.0,26573.0,25884.0,26638.0,26769.0,26438,27936,28742,29669,31604,33086,34898,36466
Puerto Rico,22935.0,25617.0,26547.0,27687.0,28990.0,29347.0,29953.0,30583.0,30775.0,30533.0,30929.0,31824.0,32583,33173,33683,34007,34300,34627,35044,36201
Qatar,96567.0,100130.0,105585.0,106791.0,119823.0,116862.0,130946.0,133453.0,118534.0,127889.0,145599.0,163740.0,169698,161194,143222,97846,84269,91743,93869,94946
Romania,8287.0,8927.0,9853.0,10362.0,11808.0,12830.0,14372.0,15923.0,18164.0,17437.0,17079.0,17851.0,18834,19746,20612,21547,24197,27220,29282,31226
Russia,10512.0,11346.0,12127.0,13333.0,14728.0,16222.0,18133.0,20229.0,21700.0,20118.0,21272.0,22784.0,24279,26045,25731,24062,24104,25999,27386,28449
Rwanda,650.0,702.0,787.0,801.0,853.0,940.0,1035.0,1119.0,1228.0,1286.0,1355.0,1464.0,1496,1559,1720,1816,1910,2005,2174,2364
Samoa,2848.0,3111.0,3319.0,3539.0,3723.0,4069.0,4257.0,4365.0,4576.0,4549.0,4685.0,4942.0,4787,4809,4864,5089,5524,5664,5658,5936
San Marino,,,,,62430.0,65194.0,68895.0,74826.0,75013.0,66987.0,63050.0,58184.0,54797,53898,55875,56138,58103,59522,61560,64251
São Tomé and Príncipe,1825.0,1879.0,1918.0,2042.0,2128.0,2293.0,2512.0,2589.0,2793.0,2811.0,2966.0,3090.0,3042,3409,3912,3905,3952,3975,4093,4178
Saudi Arabia,40207.0,39642.0,38188.0,42279.0,45739.0,48168.0,49363.0,49937.0,52302.0,49863.0,51270.0,55918.0,57284,56016,56786,49637,46423,48015,49151,49016
Senegal,1997.0,2080.0,2063.0,2167.0,2270.0,2381.0,2447.0,2517.0,2590.0,2606.0,2653.0,2670.0,2739,2742,2831,2971,3076,3204,3389,3503
Serbia,6313.0,6789.0,7389.0,7888.0,8853.0,10089.0,10974.0,12045.0,13026.0,12802.0,13104.0,13752.0,13939,14634,14667,14932,15856,16621,17881,19025
Seychelles,13947.0,13925.0,14050.0,13475.0,13492.0,15099.0,16677.0,18816.0,18351.0,18193.0,18969.0,20948.0,21565,22369,23890,24138,25904,27712,28436,29220
